id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
dc5b3c471ccc4e99bfd8d04f70d24fe8,08/04/23,5090,1265,2777
dc5b3c471ccc4e99bfd8d04f70d24fe8,27/04/23,1863,526,880
dc5b3c471ccc4e99bfd8d04f70d24fe8,21/04/23,5752,1721,3204
dc5b3c471ccc4e99bfd8d04f70d24fe8,10/05/23,1258,323,478
dc5b3c471ccc4e99bfd8d04f70d24fe8,10/04/23,5162,1280,2668
dc5b3c471ccc4e99bfd8d04f70d24fe8,04/05/23,1194,361,591
dc5b3c471ccc4e99bfd8d04f70d24fe8,16/04/23,6105,1561,2880
dc5b3c471ccc4e99bfd8d04f70d24fe8,02/04/23,5821,1430,2386
dc5b3c471ccc4e99bfd8d04f70d24fe8,29/04/23,1288,355,659
dc5b3c471ccc4e99bfd8d04f70d24fe8,19/04/23,5434,1559,3450
dc5b3c471ccc4e99bfd8d04f70d24fe8,30/04/23,1596,512,699
dc5b3c471ccc4e99bfd8d04f70d24fe8,01/04/23,6502,1593,2578
dc5b3c471ccc4e99bfd8d04f70d24fe8,20/04/23,5077,1471,3011
dc5b3c471ccc4e99bfd8d04f70d24fe8,03/05/23,1371,332,642
dc5b3c471ccc4e99bfd8d04f70d24fe8,15/04/23,5791,1455,3071
dc5b3c471ccc4e99bfd8d04f70d24fe8,09/05/23,934,177,387
dc5b3c471ccc4e99bfd8d04f70d24fe8,11/05/23,567,0,226
dc5b3c471ccc4e99bfd8d04f70d24fe8,09/04/23,6442,1574,3247
dc5b3c471ccc4e99bfd8d04f70d24fe8,28/04/23,1381,339,688
dc5b3c471ccc4e99bfd8d04f70d24fe8,07/04/23,4704,1227,2569
dc5b3c471ccc4e99bfd8d04f70d24fe8,22/04/23,6430,1712,2933
dc5b3c471ccc4e99bfd8d04f70d24fe8,11/04/23,4622,1240,2343
dc5b3c471ccc4e99bfd8d04f70d24fe8,07/05/23,1229,263,483
dc5b3c471ccc4e99bfd8d04f70d24fe8,24/04/23,6342,1780,3079
dc5b3c471ccc4e99bfd8d04f70d24fe8,05/04/23,4942,1201,2569
dc5b3c471ccc4e99bfd8d04f70d24fe8,26/04/23,4164,1190,2108
dc5b3c471ccc4e99bfd8d04f70d24fe8,18/04/23,4824,1352,2853
dc5b3c471ccc4e99bfd8d04f70d24fe8,03/04/23,4999,1186,2275
dc5b3c471ccc4e99bfd8d04f70d24fe8,02/05/23,1147,283,470
dc5b3c471ccc4e99bfd8d04f70d24fe8,13/04/23,5772,1427,3039
dc5b3c471ccc4e99bfd8d04f70d24fe8,05/05/23,1087,286,568
dc5b3c471ccc4e99bfd8d04f70d24fe8,14/04/23,5870,1372,3284
dc5b3c471ccc4e99bfd8d04f70d24fe8,06/05/23,904,215,441
dc5b3c471ccc4e99bfd8d04f70d24fe8,17/04/23,5959,1631,3111
dc5b3c471ccc4e99bfd8d04f70d24fe8,01/05/23,1870,475,879
dc5b3c471ccc4e99bfd8d04f70d24fe8,04/04/23,4789,1149,2327
dc5b3c471ccc4e99bfd8d04f70d24fe8,23/04/23,7019,2029,3950
dc5b3c471ccc4e99bfd8d04f70d24fe8,25/04/23,6414,1764,3381
dc5b3c471ccc4e99bfd8d04f70d24fe8,06/04/23,5286,1316,2752
dc5b3c471ccc4e99bfd8d04f70d24fe8,12/04/23,4743,1272,2496
dc5b3c471ccc4e99bfd8d04f70d24fe8,08/05/23,1121,206,504
