id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
13495cc7ee664357aae3cb92403ce533,10/04/23,3257,765,1776
13495cc7ee664357aae3cb92403ce533,10/05/23,1864,392,943
13495cc7ee664357aae3cb92403ce533,21/04/23,2814,680,1769
13495cc7ee664357aae3cb92403ce533,08/04/23,3124,744,1952
13495cc7ee664357aae3cb92403ce533,27/04/23,2256,538,1259
13495cc7ee664357aae3cb92403ce533,19/04/23,2800,669,1657
13495cc7ee664357aae3cb92403ce533,02/04/23,3569,755,1877
13495cc7ee664357aae3cb92403ce533,29/04/23,1862,447,1133
13495cc7ee664357aae3cb92403ce533,16/04/23,3647,835,1864
13495cc7ee664357aae3cb92403ce533,04/05/23,1744,373,920
13495cc7ee664357aae3cb92403ce533,15/04/23,3617,783,1921
13495cc7ee664357aae3cb92403ce533,03/05/23,1828,428,934
13495cc7ee664357aae3cb92403ce533,20/04/23,2642,624,1570
13495cc7ee664357aae3cb92403ce533,30/04/23,2314,536,1266
13495cc7ee664357aae3cb92403ce533,01/04/23,3168,732,1774
13495cc7ee664357aae3cb92403ce533,22/04/23,3358,734,1965
13495cc7ee664357aae3cb92403ce533,28/04/23,2376,607,1455
13495cc7ee664357aae3cb92403ce533,07/04/23,3169,762,1983
13495cc7ee664357aae3cb92403ce533,09/04/23,3820,870,2299
13495cc7ee664357aae3cb92403ce533,11/05/23,374,0,204
13495cc7ee664357aae3cb92403ce533,09/05/23,2429,531,1147
13495cc7ee664357aae3cb92403ce533,05/04/23,2566,626,1393
13495cc7ee664357aae3cb92403ce533,26/04/23,2268,570,1335
13495cc7ee664357aae3cb92403ce533,24/04/23,2280,531,1304
13495cc7ee664357aae3cb92403ce533,07/05/23,2588,479,1243
13495cc7ee664357aae3cb92403ce533,11/04/23,3162,792,1859
13495cc7ee664357aae3cb92403ce533,05/05/23,2097,499,1178
13495cc7ee664357aae3cb92403ce533,13/04/23,3612,869,2127
13495cc7ee664357aae3cb92403ce533,03/04/23,3105,709,1776
13495cc7ee664357aae3cb92403ce533,02/05/23,2205,532,1019
13495cc7ee664357aae3cb92403ce533,18/04/23,2548,646,1508
13495cc7ee664357aae3cb92403ce533,01/05/23,2148,489,1098
13495cc7ee664357aae3cb92403ce533,04/04/23,2439,611,1361
13495cc7ee664357aae3cb92403ce533,17/04/23,2699,658,1526
13495cc7ee664357aae3cb92403ce533,06/05/23,2305,515,1256
13495cc7ee664357aae3cb92403ce533,14/04/23,3452,834,2015
13495cc7ee664357aae3cb92403ce533,08/05/23,2277,481,1070
13495cc7ee664357aae3cb92403ce533,12/04/23,3597,896,1929
13495cc7ee664357aae3cb92403ce533,25/04/23,2219,497,1211
13495cc7ee664357aae3cb92403ce533,06/04/23,2518,618,1554
13495cc7ee664357aae3cb92403ce533,23/04/23,2668,639,1491
