id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
1e4a7d34f17842ed9019668c60a441bd,09/05/23,42011,12436,22487
1e4a7d34f17842ed9019668c60a441bd,11/05/23,13116,0,8504
1e4a7d34f17842ed9019668c60a441bd,09/04/23,49477,15075,30999
1e4a7d34f17842ed9019668c60a441bd,28/04/23,44587,13197,29499
1e4a7d34f17842ed9019668c60a441bd,07/04/23,39472,12739,26653
1e4a7d34f17842ed9019668c60a441bd,22/04/23,35103,10931,21805
1e4a7d34f17842ed9019668c60a441bd,30/04/23,57117,17948,34922
1e4a7d34f17842ed9019668c60a441bd,01/04/23,43950,13728,27087
1e4a7d34f17842ed9019668c60a441bd,20/04/23,31202,10366,21516
1e4a7d34f17842ed9019668c60a441bd,03/05/23,45426,13448,26989
1e4a7d34f17842ed9019668c60a441bd,15/04/23,31890,9889,20071
1e4a7d34f17842ed9019668c60a441bd,04/05/23,44630,13421,26897
1e4a7d34f17842ed9019668c60a441bd,16/04/23,37617,11083,21710
1e4a7d34f17842ed9019668c60a441bd,02/04/23,48377,14613,27717
1e4a7d34f17842ed9019668c60a441bd,29/04/23,51401,15597,34346
1e4a7d34f17842ed9019668c60a441bd,19/04/23,30384,9785,21324
1e4a7d34f17842ed9019668c60a441bd,08/04/23,43038,13498,29354
1e4a7d34f17842ed9019668c60a441bd,27/04/23,44912,13035,28776
1e4a7d34f17842ed9019668c60a441bd,21/04/23,32171,10516,22214
1e4a7d34f17842ed9019668c60a441bd,10/05/23,42589,12385,23753
1e4a7d34f17842ed9019668c60a441bd,10/04/23,42948,12531,25418
1e4a7d34f17842ed9019668c60a441bd,23/04/23,43558,13032,29038
1e4a7d34f17842ed9019668c60a441bd,25/04/23,54711,15294,34697
1e4a7d34f17842ed9019668c60a441bd,06/04/23,41325,12965,28389
1e4a7d34f17842ed9019668c60a441bd,12/04/23,37090,11486,23591
1e4a7d34f17842ed9019668c60a441bd,08/05/23,51440,14454,26720
1e4a7d34f17842ed9019668c60a441bd,14/04/23,31581,9603,20703
1e4a7d34f17842ed9019668c60a441bd,06/05/23,66806,17147,36138
1e4a7d34f17842ed9019668c60a441bd,17/04/23,31717,9817,20347
1e4a7d34f17842ed9019668c60a441bd,01/05/23,63155,18254,35464
1e4a7d34f17842ed9019668c60a441bd,04/04/23,37730,12210,23424
1e4a7d34f17842ed9019668c60a441bd,18/04/23,26933,8807,19238
1e4a7d34f17842ed9019668c60a441bd,03/04/23,44803,13251,26039
1e4a7d34f17842ed9019668c60a441bd,02/05/23,49468,14484,27823
1e4a7d34f17842ed9019668c60a441bd,13/04/23,38877,11891,24835
1e4a7d34f17842ed9019668c60a441bd,05/05/23,45210,13302,27725
1e4a7d34f17842ed9019668c60a441bd,11/04/23,39919,12390,24692
1e4a7d34f17842ed9019668c60a441bd,07/05/23,49590,13475,27481
1e4a7d34f17842ed9019668c60a441bd,24/04/23,43498,13749,27296
1e4a7d34f17842ed9019668c60a441bd,05/04/23,40125,12320,26535
1e4a7d34f17842ed9019668c60a441bd,26/04/23,52112,14983,34139
