id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
1ea698586eef431780b6f9f983b1d0e7,01/05/23,1584,347,916
1ea698586eef431780b6f9f983b1d0e7,05/05/23,1304,260,732
1ea698586eef431780b6f9f983b1d0e7,25/04/23,1297,362,892
1ea698586eef431780b6f9f983b1d0e7,02/05/23,1208,262,680
1ea698586eef431780b6f9f983b1d0e7,09/05/23,1180,282,733
1ea698586eef431780b6f9f983b1d0e7,29/04/23,1090,379,833
1ea698586eef431780b6f9f983b1d0e7,06/05/23,1055,272,689
1ea698586eef431780b6f9f983b1d0e7,10/05/23,1043,237,560
1ea698586eef431780b6f9f983b1d0e7,24/04/23,1034,332,674
1ea698586eef431780b6f9f983b1d0e7,30/04/23,1031,294,784
1ea698586eef431780b6f9f983b1d0e7,26/04/23,1021,326,758
1ea698586eef431780b6f9f983b1d0e7,11/05/23,977,227,651
1ea698586eef431780b6f9f983b1d0e7,23/04/23,960,257,647
1ea698586eef431780b6f9f983b1d0e7,07/05/23,959,190,623
1ea698586eef431780b6f9f983b1d0e7,27/04/23,955,284,650
1ea698586eef431780b6f9f983b1d0e7,14/05/23,950,212,555
1ea698586eef431780b6f9f983b1d0e7,12/05/23,892,233,570
1ea698586eef431780b6f9f983b1d0e7,28/04/23,851,241,600
1ea698586eef431780b6f9f983b1d0e7,13/05/23,847,224,459
1ea698586eef431780b6f9f983b1d0e7,08/05/23,844,212,470
1ea698586eef431780b6f9f983b1d0e7,10/04/23,834,202,538
1ea698586eef431780b6f9f983b1d0e7,04/05/23,814,183,482
1ea698586eef431780b6f9f983b1d0e7,21/04/23,783,190,531
1ea698586eef431780b6f9f983b1d0e7,03/05/23,766,152,406
1ea698586eef431780b6f9f983b1d0e7,20/04/23,761,210,519
1ea698586eef431780b6f9f983b1d0e7,22/04/23,709,225,433
1ea698586eef431780b6f9f983b1d0e7,19/04/23,658,172,447
1ea698586eef431780b6f9f983b1d0e7,18/04/23,638,173,427
1ea698586eef431780b6f9f983b1d0e7,09/04/23,622,151,323
1ea698586eef431780b6f9f983b1d0e7,17/04/23,607,192,424
1ea698586eef431780b6f9f983b1d0e7,16/04/23,533,176,366
1ea698586eef431780b6f9f983b1d0e7,07/04/23,510,114,359
1ea698586eef431780b6f9f983b1d0e7,15/04/23,476,116,275
1ea698586eef431780b6f9f983b1d0e7,06/04/23,472,119,311
1ea698586eef431780b6f9f983b1d0e7,14/04/23,451,143,330
1ea698586eef431780b6f9f983b1d0e7,12/04/23,449,122,289
1ea698586eef431780b6f9f983b1d0e7,02/04/23,434,116,226
1ea698586eef431780b6f9f983b1d0e7,08/04/23,422,108,298
1ea698586eef431780b6f9f983b1d0e7,11/04/23,395,129,253
1ea698586eef431780b6f9f983b1d0e7,05/04/23,392,104,231
1ea698586eef431780b6f9f983b1d0e7,13/04/23,386,104,256
1ea698586eef431780b6f9f983b1d0e7,03/04/23,383,94,236
1ea698586eef431780b6f9f983b1d0e7,01/04/23,347,106,179
1ea698586eef431780b6f9f983b1d0e7,04/04/23,302,82,196
1ea698586eef431780b6f9f983b1d0e7,15/05/23,147,0,98
