id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
367f1ea2a1fc45b98a8e4f7f82d89d15,18/04/23,215,26,137
367f1ea2a1fc45b98a8e4f7f82d89d15,02/04/23,191,29,79
367f1ea2a1fc45b98a8e4f7f82d89d15,01/04/23,183,25,65
367f1ea2a1fc45b98a8e4f7f82d89d15,03/05/23,165,22,63
367f1ea2a1fc45b98a8e4f7f82d89d15,05/04/23,136,18,35
367f1ea2a1fc45b98a8e4f7f82d89d15,20/04/23,128,16,85
367f1ea2a1fc45b98a8e4f7f82d89d15,27/04/23,120,22,73
367f1ea2a1fc45b98a8e4f7f82d89d15,17/04/23,119,15,75
367f1ea2a1fc45b98a8e4f7f82d89d15,07/04/23,119,21,81
367f1ea2a1fc45b98a8e4f7f82d89d15,02/05/23,116,29,75
367f1ea2a1fc45b98a8e4f7f82d89d15,06/05/23,113,24,84
367f1ea2a1fc45b98a8e4f7f82d89d15,16/04/23,112,16,61
367f1ea2a1fc45b98a8e4f7f82d89d15,14/05/23,108,14,67
367f1ea2a1fc45b98a8e4f7f82d89d15,10/05/23,105,15,52
367f1ea2a1fc45b98a8e4f7f82d89d15,09/04/23,105,11,40
367f1ea2a1fc45b98a8e4f7f82d89d15,09/05/23,96,15,49
367f1ea2a1fc45b98a8e4f7f82d89d15,21/04/23,92,13,54
367f1ea2a1fc45b98a8e4f7f82d89d15,23/04/23,90,18,47
367f1ea2a1fc45b98a8e4f7f82d89d15,11/04/23,88,16,37
367f1ea2a1fc45b98a8e4f7f82d89d15,07/05/23,86,23,54
367f1ea2a1fc45b98a8e4f7f82d89d15,19/04/23,84,8,35
367f1ea2a1fc45b98a8e4f7f82d89d15,03/04/23,83,11,28
367f1ea2a1fc45b98a8e4f7f82d89d15,30/04/23,81,24,63
367f1ea2a1fc45b98a8e4f7f82d89d15,11/05/23,79,12,60
367f1ea2a1fc45b98a8e4f7f82d89d15,08/04/23,73,15,51
367f1ea2a1fc45b98a8e4f7f82d89d15,14/04/23,70,7,44
367f1ea2a1fc45b98a8e4f7f82d89d15,04/04/23,69,9,23
367f1ea2a1fc45b98a8e4f7f82d89d15,26/04/23,66,12,43
367f1ea2a1fc45b98a8e4f7f82d89d15,28/04/23,64,10,51
367f1ea2a1fc45b98a8e4f7f82d89d15,01/05/23,61,10,32
367f1ea2a1fc45b98a8e4f7f82d89d15,15/04/23,60,7,38
367f1ea2a1fc45b98a8e4f7f82d89d15,12/04/23,59,13,29
367f1ea2a1fc45b98a8e4f7f82d89d15,25/04/23,59,7,37
367f1ea2a1fc45b98a8e4f7f82d89d15,13/05/23,58,6,35
367f1ea2a1fc45b98a8e4f7f82d89d15,10/04/23,57,5,30
367f1ea2a1fc45b98a8e4f7f82d89d15,06/04/23,52,13,40
367f1ea2a1fc45b98a8e4f7f82d89d15,05/05/23,48,27,34
367f1ea2a1fc45b98a8e4f7f82d89d15,08/05/23,47,10,24
367f1ea2a1fc45b98a8e4f7f82d89d15,24/04/23,47,14,30
367f1ea2a1fc45b98a8e4f7f82d89d15,13/04/23,36,27,19
367f1ea2a1fc45b98a8e4f7f82d89d15,12/05/23,33,5,16
367f1ea2a1fc45b98a8e4f7f82d89d15,15/05/23,23,0,14
367f1ea2a1fc45b98a8e4f7f82d89d15,29/04/23,22,3,12
367f1ea2a1fc45b98a8e4f7f82d89d15,04/05/23,19,21,10
367f1ea2a1fc45b98a8e4f7f82d89d15,22/04/23,10,15,4
