id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
7893c3c3e5c544af9226ce3a3e0eb20d,05/05/23,14265,1464,8027
7893c3c3e5c544af9226ce3a3e0eb20d,07/05/23,10795,994,4617
7893c3c3e5c544af9226ce3a3e0eb20d,04/05/23,10356,1134,5602
7893c3c3e5c544af9226ce3a3e0eb20d,06/05/23,9534,1025,4996
7893c3c3e5c544af9226ce3a3e0eb20d,10/05/23,9403,918,4807
7893c3c3e5c544af9226ce3a3e0eb20d,08/05/23,7657,902,3352
7893c3c3e5c544af9226ce3a3e0eb20d,11/05/23,7598,844,4026
7893c3c3e5c544af9226ce3a3e0eb20d,03/05/23,7314,822,3875
7893c3c3e5c544af9226ce3a3e0eb20d,02/05/23,7263,1022,3285
7893c3c3e5c544af9226ce3a3e0eb20d,14/05/23,6939,812,3812
7893c3c3e5c544af9226ce3a3e0eb20d,13/05/23,6444,783,3677
7893c3c3e5c544af9226ce3a3e0eb20d,01/05/23,6404,1382,2690
7893c3c3e5c544af9226ce3a3e0eb20d,09/05/23,6300,716,2868
7893c3c3e5c544af9226ce3a3e0eb20d,27/04/23,6163,1587,3084
7893c3c3e5c544af9226ce3a3e0eb20d,12/05/23,6057,774,3595
7893c3c3e5c544af9226ce3a3e0eb20d,16/04/23,5699,1452,3002
7893c3c3e5c544af9226ce3a3e0eb20d,30/04/23,5438,1481,2698
7893c3c3e5c544af9226ce3a3e0eb20d,28/04/23,5320,1547,3089
7893c3c3e5c544af9226ce3a3e0eb20d,29/04/23,5079,1357,3003
7893c3c3e5c544af9226ce3a3e0eb20d,20/04/23,4755,1519,2762
7893c3c3e5c544af9226ce3a3e0eb20d,26/04/23,4354,1207,2424
7893c3c3e5c544af9226ce3a3e0eb20d,01/04/23,3868,1052,1884
7893c3c3e5c544af9226ce3a3e0eb20d,23/04/23,3850,1020,2191
7893c3c3e5c544af9226ce3a3e0eb20d,15/04/23,3819,1070,2134
7893c3c3e5c544af9226ce3a3e0eb20d,02/04/23,3792,1034,1721
7893c3c3e5c544af9226ce3a3e0eb20d,24/04/23,3782,1110,1890
7893c3c3e5c544af9226ce3a3e0eb20d,25/04/23,3779,1039,1972
7893c3c3e5c544af9226ce3a3e0eb20d,21/04/23,3746,1159,2237
7893c3c3e5c544af9226ce3a3e0eb20d,17/04/23,3720,947,1883
7893c3c3e5c544af9226ce3a3e0eb20d,22/04/23,3668,1012,1705
7893c3c3e5c544af9226ce3a3e0eb20d,09/04/23,3659,1064,2096
7893c3c3e5c544af9226ce3a3e0eb20d,04/04/23,3540,1044,1915
7893c3c3e5c544af9226ce3a3e0eb20d,03/04/23,3423,936,1549
7893c3c3e5c544af9226ce3a3e0eb20d,06/04/23,3297,1004,2045
7893c3c3e5c544af9226ce3a3e0eb20d,07/04/23,3152,932,1893
7893c3c3e5c544af9226ce3a3e0eb20d,05/04/23,3067,846,1727
7893c3c3e5c544af9226ce3a3e0eb20d,10/04/23,3046,809,1630
7893c3c3e5c544af9226ce3a3e0eb20d,14/04/23,3007,850,1769
7893c3c3e5c544af9226ce3a3e0eb20d,13/04/23,2953,798,1492
7893c3c3e5c544af9226ce3a3e0eb20d,08/04/23,2880,793,1595
7893c3c3e5c544af9226ce3a3e0eb20d,19/04/23,2813,813,1677
7893c3c3e5c544af9226ce3a3e0eb20d,18/04/23,2665,734,1551
7893c3c3e5c544af9226ce3a3e0eb20d,12/04/23,2553,710,1229
7893c3c3e5c544af9226ce3a3e0eb20d,11/04/23,2329,677,1180
7893c3c3e5c544af9226ce3a3e0eb20d,15/05/23,1604,0,714
