id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
980dc089f55f4c17876fbdf9dc7ab73c,23/04/23,23,0,16
980dc089f55f4c17876fbdf9dc7ab73c,24/04/23,21,0,10
980dc089f55f4c17876fbdf9dc7ab73c,25/04/23,21,4,15
980dc089f55f4c17876fbdf9dc7ab73c,09/05/23,21,0,2
980dc089f55f4c17876fbdf9dc7ab73c,05/05/23,14,0,5
980dc089f55f4c17876fbdf9dc7ab73c,16/04/23,12,0,1
980dc089f55f4c17876fbdf9dc7ab73c,03/05/23,10,0,6
980dc089f55f4c17876fbdf9dc7ab73c,26/04/23,8,0,6
980dc089f55f4c17876fbdf9dc7ab73c,20/04/23,8,0,6
980dc089f55f4c17876fbdf9dc7ab73c,27/04/23,8,0,5
980dc089f55f4c17876fbdf9dc7ab73c,22/04/23,8,0,1
980dc089f55f4c17876fbdf9dc7ab73c,07/05/23,8,0,2
980dc089f55f4c17876fbdf9dc7ab73c,15/04/23,7,0,5
980dc089f55f4c17876fbdf9dc7ab73c,02/05/23,7,0,3
980dc089f55f4c17876fbdf9dc7ab73c,28/04/23,6,0,2
980dc089f55f4c17876fbdf9dc7ab73c,11/04/23,6,0,6
980dc089f55f4c17876fbdf9dc7ab73c,12/04/23,5,0,2
980dc089f55f4c17876fbdf9dc7ab73c,10/05/23,5,0,1
980dc089f55f4c17876fbdf9dc7ab73c,21/04/23,4,0,3
980dc089f55f4c17876fbdf9dc7ab73c,30/04/23,3,0,0
980dc089f55f4c17876fbdf9dc7ab73c,29/04/23,2,0,0
980dc089f55f4c17876fbdf9dc7ab73c,19/04/23,2,0,2
980dc089f55f4c17876fbdf9dc7ab73c,14/05/23,2,0,2
980dc089f55f4c17876fbdf9dc7ab73c,06/05/23,2,0,1
980dc089f55f4c17876fbdf9dc7ab73c,17/04/23,2,1,2
980dc089f55f4c17876fbdf9dc7ab73c,09/04/23,2,0,2
980dc089f55f4c17876fbdf9dc7ab73c,11/05/23,2,0,2
980dc089f55f4c17876fbdf9dc7ab73c,07/04/23,1,0,1
980dc089f55f4c17876fbdf9dc7ab73c,14/04/23,1,0,0
980dc089f55f4c17876fbdf9dc7ab73c,13/04/23,1,0,1
980dc089f55f4c17876fbdf9dc7ab73c,18/04/23,0,1,0
