id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
9ceb8979d76c4cdb911d3ca8d53dd6a1,10/05/23,7087,1825,2314
9ceb8979d76c4cdb911d3ca8d53dd6a1,09/05/23,2248,1064,581
9ceb8979d76c4cdb911d3ca8d53dd6a1,11/05/23,1747,384,695
9ceb8979d76c4cdb911d3ca8d53dd6a1,25/04/23,662,116,239
9ceb8979d76c4cdb911d3ca8d53dd6a1,27/04/23,557,116,201
9ceb8979d76c4cdb911d3ca8d53dd6a1,18/04/23,471,148,246
9ceb8979d76c4cdb911d3ca8d53dd6a1,12/05/23,403,103,181
9ceb8979d76c4cdb911d3ca8d53dd6a1,26/04/23,391,99,162
9ceb8979d76c4cdb911d3ca8d53dd6a1,22/04/23,358,113,124
9ceb8979d76c4cdb911d3ca8d53dd6a1,03/04/23,342,89,125
9ceb8979d76c4cdb911d3ca8d53dd6a1,13/04/23,309,69,165
9ceb8979d76c4cdb911d3ca8d53dd6a1,14/04/23,308,71,115
9ceb8979d76c4cdb911d3ca8d53dd6a1,09/04/23,280,64,107
9ceb8979d76c4cdb911d3ca8d53dd6a1,11/04/23,275,111,130
9ceb8979d76c4cdb911d3ca8d53dd6a1,29/04/23,275,76,158
9ceb8979d76c4cdb911d3ca8d53dd6a1,28/04/23,251,66,98
9ceb8979d76c4cdb911d3ca8d53dd6a1,17/04/23,220,67,97
9ceb8979d76c4cdb911d3ca8d53dd6a1,02/05/23,218,48,47
9ceb8979d76c4cdb911d3ca8d53dd6a1,10/04/23,215,52,83
9ceb8979d76c4cdb911d3ca8d53dd6a1,03/05/23,204,64,82
9ceb8979d76c4cdb911d3ca8d53dd6a1,08/04/23,203,65,91
9ceb8979d76c4cdb911d3ca8d53dd6a1,05/04/23,192,59,72
9ceb8979d76c4cdb911d3ca8d53dd6a1,19/04/23,189,48,120
9ceb8979d76c4cdb911d3ca8d53dd6a1,07/04/23,187,75,67
9ceb8979d76c4cdb911d3ca8d53dd6a1,12/04/23,181,61,87
9ceb8979d76c4cdb911d3ca8d53dd6a1,13/05/23,177,72,93
9ceb8979d76c4cdb911d3ca8d53dd6a1,15/04/23,167,66,73
9ceb8979d76c4cdb911d3ca8d53dd6a1,04/05/23,165,56,44
9ceb8979d76c4cdb911d3ca8d53dd6a1,06/04/23,161,103,73
9ceb8979d76c4cdb911d3ca8d53dd6a1,21/04/23,160,53,92
9ceb8979d76c4cdb911d3ca8d53dd6a1,20/04/23,156,70,105
9ceb8979d76c4cdb911d3ca8d53dd6a1,06/05/23,155,45,47
9ceb8979d76c4cdb911d3ca8d53dd6a1,04/04/23,143,51,54
9ceb8979d76c4cdb911d3ca8d53dd6a1,24/04/23,134,48,56
9ceb8979d76c4cdb911d3ca8d53dd6a1,14/05/23,117,54,69
9ceb8979d76c4cdb911d3ca8d53dd6a1,05/05/23,117,44,40
9ceb8979d76c4cdb911d3ca8d53dd6a1,16/04/23,107,47,58
9ceb8979d76c4cdb911d3ca8d53dd6a1,23/04/23,102,26,61
9ceb8979d76c4cdb911d3ca8d53dd6a1,01/04/23,98,30,23
9ceb8979d76c4cdb911d3ca8d53dd6a1,01/05/23,95,29,25
9ceb8979d76c4cdb911d3ca8d53dd6a1,02/04/23,87,37,27
9ceb8979d76c4cdb911d3ca8d53dd6a1,08/05/23,79,39,16
9ceb8979d76c4cdb911d3ca8d53dd6a1,07/05/23,76,34,22
9ceb8979d76c4cdb911d3ca8d53dd6a1,30/04/23,54,23,28
9ceb8979d76c4cdb911d3ca8d53dd6a1,15/05/23,41,0,18
