id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
af9b9d38874444e5a7f7d25d2677de7f,03/04/23,469,108,166
af9b9d38874444e5a7f7d25d2677de7f,09/05/23,468,146,177
af9b9d38874444e5a7f7d25d2677de7f,20/04/23,398,121,186
af9b9d38874444e5a7f7d25d2677de7f,30/04/23,390,83,226
af9b9d38874444e5a7f7d25d2677de7f,10/05/23,372,78,191
af9b9d38874444e5a7f7d25d2677de7f,02/04/23,353,89,162
af9b9d38874444e5a7f7d25d2677de7f,23/04/23,350,133,166
af9b9d38874444e5a7f7d25d2677de7f,08/04/23,336,102,170
af9b9d38874444e5a7f7d25d2677de7f,22/04/23,334,72,108
af9b9d38874444e5a7f7d25d2677de7f,24/04/23,332,130,182
af9b9d38874444e5a7f7d25d2677de7f,15/04/23,328,79,192
af9b9d38874444e5a7f7d25d2677de7f,21/04/23,326,97,191
af9b9d38874444e5a7f7d25d2677de7f,07/05/23,325,100,157
af9b9d38874444e5a7f7d25d2677de7f,16/04/23,325,95,116
af9b9d38874444e5a7f7d25d2677de7f,01/05/23,311,150,166
af9b9d38874444e5a7f7d25d2677de7f,07/04/23,297,73,161
af9b9d38874444e5a7f7d25d2677de7f,18/04/23,288,85,151
af9b9d38874444e5a7f7d25d2677de7f,26/04/23,284,100,207
af9b9d38874444e5a7f7d25d2677de7f,29/04/23,270,72,195
af9b9d38874444e5a7f7d25d2677de7f,27/04/23,269,64,191
af9b9d38874444e5a7f7d25d2677de7f,12/05/23,262,63,144
af9b9d38874444e5a7f7d25d2677de7f,08/05/23,258,133,147
af9b9d38874444e5a7f7d25d2677de7f,01/04/23,256,62,110
af9b9d38874444e5a7f7d25d2677de7f,06/04/23,256,76,198
af9b9d38874444e5a7f7d25d2677de7f,06/05/23,251,112,125
af9b9d38874444e5a7f7d25d2677de7f,13/05/23,250,88,179
af9b9d38874444e5a7f7d25d2677de7f,28/04/23,249,68,150
af9b9d38874444e5a7f7d25d2677de7f,13/04/23,239,61,111
af9b9d38874444e5a7f7d25d2677de7f,17/04/23,235,104,110
af9b9d38874444e5a7f7d25d2677de7f,09/04/23,234,78,124
af9b9d38874444e5a7f7d25d2677de7f,25/04/23,226,64,119
af9b9d38874444e5a7f7d25d2677de7f,14/05/23,217,81,128
af9b9d38874444e5a7f7d25d2677de7f,04/05/23,209,66,121
af9b9d38874444e5a7f7d25d2677de7f,14/04/23,205,70,112
af9b9d38874444e5a7f7d25d2677de7f,11/05/23,202,50,122
af9b9d38874444e5a7f7d25d2677de7f,10/04/23,199,79,124
af9b9d38874444e5a7f7d25d2677de7f,11/04/23,186,97,77
af9b9d38874444e5a7f7d25d2677de7f,04/04/23,182,67,96
af9b9d38874444e5a7f7d25d2677de7f,05/04/23,179,77,103
af9b9d38874444e5a7f7d25d2677de7f,03/05/23,170,67,141
af9b9d38874444e5a7f7d25d2677de7f,19/04/23,159,94,79
af9b9d38874444e5a7f7d25d2677de7f,12/04/23,159,61,69
af9b9d38874444e5a7f7d25d2677de7f,05/05/23,149,56,72
af9b9d38874444e5a7f7d25d2677de7f,02/05/23,114,57,66
af9b9d38874444e5a7f7d25d2677de7f,15/05/23,29,0,12
