id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
c508bdb81fb84da49418486ad397515f,08/05/23,3803,1838,1804
c508bdb81fb84da49418486ad397515f,12/04/23,10300,3303,6468
c508bdb81fb84da49418486ad397515f,06/04/23,20925,14204,7669
c508bdb81fb84da49418486ad397515f,25/04/23,12615,2669,9473
c508bdb81fb84da49418486ad397515f,23/04/23,10922,2499,8311
c508bdb81fb84da49418486ad397515f,04/04/23,17943,9682,7715
c508bdb81fb84da49418486ad397515f,01/05/23,10771,4085,5892
c508bdb81fb84da49418486ad397515f,17/04/23,9831,3015,6749
c508bdb81fb84da49418486ad397515f,06/05/23,17875,4332,6222
c508bdb81fb84da49418486ad397515f,14/04/23,10706,1684,9109
c508bdb81fb84da49418486ad397515f,05/05/23,14968,4162,5548
c508bdb81fb84da49418486ad397515f,13/04/23,11744,2708,8725
c508bdb81fb84da49418486ad397515f,02/05/23,10137,2538,6102
c508bdb81fb84da49418486ad397515f,03/04/23,19488,11069,7590
c508bdb81fb84da49418486ad397515f,18/04/23,14899,2624,11999
c508bdb81fb84da49418486ad397515f,26/04/23,17716,3981,12080
c508bdb81fb84da49418486ad397515f,05/04/23,16561,10595,6178
c508bdb81fb84da49418486ad397515f,24/04/23,13965,2888,10771
c508bdb81fb84da49418486ad397515f,07/05/23,7766,3963,3420
c508bdb81fb84da49418486ad397515f,11/04/23,11363,5151,6568
c508bdb81fb84da49418486ad397515f,22/04/23,7820,2068,5605
c508bdb81fb84da49418486ad397515f,07/04/23,17111,9603,7255
c508bdb81fb84da49418486ad397515f,28/04/23,12241,1853,9922
c508bdb81fb84da49418486ad397515f,09/04/23,7945,1998,5909
c508bdb81fb84da49418486ad397515f,11/05/23,11311,0,4422
c508bdb81fb84da49418486ad397515f,09/05/23,9378,4219,3414
c508bdb81fb84da49418486ad397515f,15/04/23,8752,860,7949
c508bdb81fb84da49418486ad397515f,03/05/23,9771,3181,5834
c508bdb81fb84da49418486ad397515f,20/04/23,6877,1191,5975
c508bdb81fb84da49418486ad397515f,01/04/23,25293,11061,12562
c508bdb81fb84da49418486ad397515f,30/04/23,10382,2407,7645
c508bdb81fb84da49418486ad397515f,19/04/23,12178,2520,10024
c508bdb81fb84da49418486ad397515f,29/04/23,9919,1255,8449
c508bdb81fb84da49418486ad397515f,02/04/23,22253,12560,9809
c508bdb81fb84da49418486ad397515f,16/04/23,8771,2498,6543
c508bdb81fb84da49418486ad397515f,04/05/23,9403,3401,4367
c508bdb81fb84da49418486ad397515f,10/04/23,10116,3716,6560
c508bdb81fb84da49418486ad397515f,10/05/23,29420,6355,10235
c508bdb81fb84da49418486ad397515f,21/04/23,6909,1011,5942
c508bdb81fb84da49418486ad397515f,27/04/23,15008,3038,10719
c508bdb81fb84da49418486ad397515f,08/04/23,8371,3481,4840
