id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
d5c73464461b44f4803ba53ac2a901dd,01/04/23,38,7,7
d5c73464461b44f4803ba53ac2a901dd,05/04/23,28,6,15
d5c73464461b44f4803ba53ac2a901dd,06/04/23,16,4,10
d5c73464461b44f4803ba53ac2a901dd,04/05/23,14,3,10
d5c73464461b44f4803ba53ac2a901dd,02/05/23,12,2,4
d5c73464461b44f4803ba53ac2a901dd,07/05/23,10,3,6
d5c73464461b44f4803ba53ac2a901dd,08/05/23,8,1,4
d5c73464461b44f4803ba53ac2a901dd,10/05/23,6,1,5
d5c73464461b44f4803ba53ac2a901dd,19/04/23,4,0,1
d5c73464461b44f4803ba53ac2a901dd,04/04/23,4,2,4
d5c73464461b44f4803ba53ac2a901dd,05/05/23,4,1,4
d5c73464461b44f4803ba53ac2a901dd,11/05/23,3,0,2
d5c73464461b44f4803ba53ac2a901dd,03/05/23,3,0,1
d5c73464461b44f4803ba53ac2a901dd,26/04/23,2,0,1
d5c73464461b44f4803ba53ac2a901dd,10/04/23,2,0,1
d5c73464461b44f4803ba53ac2a901dd,07/04/23,2,1,2
d5c73464461b44f4803ba53ac2a901dd,01/05/23,2,1,2
d5c73464461b44f4803ba53ac2a901dd,14/04/23,2,0,1
d5c73464461b44f4803ba53ac2a901dd,15/05/23,1,0,0
d5c73464461b44f4803ba53ac2a901dd,03/04/23,1,0,0
d5c73464461b44f4803ba53ac2a901dd,14/05/23,0,2,0
d5c73464461b44f4803ba53ac2a901dd,06/05/23,0,2,0
d5c73464461b44f4803ba53ac2a901dd,12/05/23,0,2,0
d5c73464461b44f4803ba53ac2a901dd,29/04/23,0,1,0
d5c73464461b44f4803ba53ac2a901dd,30/04/23,0,1,0
d5c73464461b44f4803ba53ac2a901dd,28/04/23,0,1,0
d5c73464461b44f4803ba53ac2a901dd,13/05/23,0,3,0
