id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
dda44f2a035e45018432f4cb92cd381f,12/05/23,118,14,22
dda44f2a035e45018432f4cb92cd381f,02/05/23,83,12,29
dda44f2a035e45018432f4cb92cd381f,14/05/23,67,6,22
dda44f2a035e45018432f4cb92cd381f,04/05/23,29,5,10
dda44f2a035e45018432f4cb92cd381f,09/05/23,22,3,6
dda44f2a035e45018432f4cb92cd381f,28/04/23,15,1,3
dda44f2a035e45018432f4cb92cd381f,01/05/23,11,2,7
dda44f2a035e45018432f4cb92cd381f,13/05/23,7,10,5
dda44f2a035e45018432f4cb92cd381f,07/05/23,6,2,2
dda44f2a035e45018432f4cb92cd381f,30/04/23,5,1,3
dda44f2a035e45018432f4cb92cd381f,05/05/23,5,2,1
dda44f2a035e45018432f4cb92cd381f,11/05/23,4,0,2
dda44f2a035e45018432f4cb92cd381f,06/05/23,3,0,1
dda44f2a035e45018432f4cb92cd381f,29/04/23,2,0,1
