id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
fe8f1d75bc7a472c8ddb11602e397d7c,24/04/23,776,2,166
fe8f1d75bc7a472c8ddb11602e397d7c,01/04/23,695,1,147
fe8f1d75bc7a472c8ddb11602e397d7c,20/04/23,559,4,148
fe8f1d75bc7a472c8ddb11602e397d7c,10/04/23,490,4,117
fe8f1d75bc7a472c8ddb11602e397d7c,19/04/23,451,3,249
fe8f1d75bc7a472c8ddb11602e397d7c,25/04/23,326,3,103
fe8f1d75bc7a472c8ddb11602e397d7c,03/04/23,296,2,60
fe8f1d75bc7a472c8ddb11602e397d7c,02/04/23,286,2,39
fe8f1d75bc7a472c8ddb11602e397d7c,21/04/23,263,1,90
fe8f1d75bc7a472c8ddb11602e397d7c,28/04/23,152,2,65
fe8f1d75bc7a472c8ddb11602e397d7c,27/04/23,136,0,29
fe8f1d75bc7a472c8ddb11602e397d7c,22/04/23,135,0,39
fe8f1d75bc7a472c8ddb11602e397d7c,13/04/23,112,0,28
fe8f1d75bc7a472c8ddb11602e397d7c,14/04/23,111,0,37
fe8f1d75bc7a472c8ddb11602e397d7c,26/04/23,107,1,25
fe8f1d75bc7a472c8ddb11602e397d7c,29/04/23,84,0,30
fe8f1d75bc7a472c8ddb11602e397d7c,04/04/23,81,0,23
fe8f1d75bc7a472c8ddb11602e397d7c,12/04/23,78,2,12
fe8f1d75bc7a472c8ddb11602e397d7c,17/04/23,73,2,15
fe8f1d75bc7a472c8ddb11602e397d7c,11/04/23,71,0,22
fe8f1d75bc7a472c8ddb11602e397d7c,18/04/23,66,0,27
fe8f1d75bc7a472c8ddb11602e397d7c,15/04/23,60,2,11
fe8f1d75bc7a472c8ddb11602e397d7c,05/04/23,46,0,8
fe8f1d75bc7a472c8ddb11602e397d7c,23/04/23,44,0,14
fe8f1d75bc7a472c8ddb11602e397d7c,30/04/23,42,1,7
fe8f1d75bc7a472c8ddb11602e397d7c,09/04/23,40,1,14
fe8f1d75bc7a472c8ddb11602e397d7c,16/04/23,29,0,5
fe8f1d75bc7a472c8ddb11602e397d7c,09/05/23,27,0,10
fe8f1d75bc7a472c8ddb11602e397d7c,07/04/23,21,0,4
fe8f1d75bc7a472c8ddb11602e397d7c,14/05/23,20,0,8
fe8f1d75bc7a472c8ddb11602e397d7c,08/04/23,17,0,5
fe8f1d75bc7a472c8ddb11602e397d7c,06/04/23,15,1,7
fe8f1d75bc7a472c8ddb11602e397d7c,03/05/23,15,0,11
fe8f1d75bc7a472c8ddb11602e397d7c,13/05/23,14,0,5
fe8f1d75bc7a472c8ddb11602e397d7c,10/05/23,14,0,2
fe8f1d75bc7a472c8ddb11602e397d7c,01/05/23,14,0,4
fe8f1d75bc7a472c8ddb11602e397d7c,11/05/23,13,0,4
fe8f1d75bc7a472c8ddb11602e397d7c,05/05/23,13,0,5
fe8f1d75bc7a472c8ddb11602e397d7c,12/05/23,11,0,2
fe8f1d75bc7a472c8ddb11602e397d7c,04/05/23,8,0,2
fe8f1d75bc7a472c8ddb11602e397d7c,07/05/23,7,0,3
fe8f1d75bc7a472c8ddb11602e397d7c,08/05/23,6,0,3
fe8f1d75bc7a472c8ddb11602e397d7c,02/05/23,4,0,3
fe8f1d75bc7a472c8ddb11602e397d7c,06/05/23,4,0,1
fe8f1d75bc7a472c8ddb11602e397d7c,15/05/23,2,0,1
